Epoch 0: Loss: 0.016241, Rec Loss: 0.016241, FC Loss: 0.000000
Epoch 1: Loss: 0.003928, Rec Loss: 0.003928, FC Loss: 0.000000
Epoch 2: Loss: 0.002934, Rec Loss: 0.002934, FC Loss: 0.000000
Epoch 3: Loss: 0.002628, Rec Loss: 0.002628, FC Loss: 0.000000
Epoch 4: Loss: 0.002174, Rec Loss: 0.002174, FC Loss: 0.000000
Epoch 5: Loss: 0.001914, Rec Loss: 0.001914, FC Loss: 0.000000
Epoch 6: Loss: 0.001734, Rec Loss: 0.001734, FC Loss: 0.000000
Epoch 7: Loss: 0.001703, Rec Loss: 0.001703, FC Loss: 0.000000
Epoch 8: Loss: 0.001594, Rec Loss: 0.001594, FC Loss: 0.000000
Epoch 9: Loss: 0.001474, Rec Loss: 0.001474, FC Loss: 0.000000
Epoch 10: Loss: 0.001474, Rec Loss: 0.001474, FC Loss: 0.000000
Epoch 11: Loss: 0.001306, Rec Loss: 0.001306, FC Loss: 0.000000
Epoch 12: Loss: 0.001279, Rec Loss: 0.001279, FC Loss: 0.000000
Epoch 13: Loss: 0.001240, Rec Loss: 0.001240, FC Loss: 0.000000
Epoch 14: Loss: 0.001218, Rec Loss: 0.001218, FC Loss: 0.000000
Epoch 15: Loss: 0.001149, Rec Loss: 0.001149, FC Loss: 0.000000
Epoch 16: Loss: 0.001098, Rec Loss: 0.001098, FC Loss: 0.000000
Epoch 17: Loss: 0.001087, Rec Loss: 0.001087, FC Loss: 0.000000
Epoch 18: Loss: 0.001055, Rec Loss: 0.001055, FC Loss: 0.000000
Epoch 19: Loss: 0.001013, Rec Loss: 0.001013, FC Loss: 0.000000
Epoch 20: Loss: 0.001000, Rec Loss: 0.001000, FC Loss: 0.000000
Epoch 21: Loss: 0.000952, Rec Loss: 0.000952, FC Loss: 0.000000
Epoch 22: Loss: 0.000998, Rec Loss: 0.000998, FC Loss: 0.000000
Epoch 23: Loss: 0.000934, Rec Loss: 0.000934, FC Loss: 0.000000
Epoch 24: Loss: 0.000887, Rec Loss: 0.000887, FC Loss: 0.000000
Epoch 25: Loss: 0.000829, Rec Loss: 0.000829, FC Loss: 0.000000
Epoch 26: Loss: 0.000852, Rec Loss: 0.000852, FC Loss: 0.000000
Epoch 27: Loss: 0.000871, Rec Loss: 0.000871, FC Loss: 0.000000
Epoch 28: Loss: 0.000793, Rec Loss: 0.000793, FC Loss: 0.000000
Epoch 29: Loss: 0.000776, Rec Loss: 0.000776, FC Loss: 0.000000
Epoch 30: Loss: 0.000853, Rec Loss: 0.000853, FC Loss: 0.000000
Epoch 31: Loss: 0.000755, Rec Loss: 0.000755, FC Loss: 0.000000
Epoch 32: Loss: 0.000742, Rec Loss: 0.000742, FC Loss: 0.000000
Epoch 33: Loss: 0.000738, Rec Loss: 0.000738, FC Loss: 0.000000
Epoch 34: Loss: 0.000705, Rec Loss: 0.000705, FC Loss: 0.000000
Epoch 35: Loss: 0.000793, Rec Loss: 0.000793, FC Loss: 0.000000
Epoch 36: Loss: 0.000666, Rec Loss: 0.000666, FC Loss: 0.000000
Epoch 37: Loss: 0.000712, Rec Loss: 0.000712, FC Loss: 0.000000
Epoch 38: Loss: 0.000646, Rec Loss: 0.000646, FC Loss: 0.000000
Epoch 39: Loss: 0.000702, Rec Loss: 0.000702, FC Loss: 0.000000
Epoch 40: Loss: 0.000628, Rec Loss: 0.000628, FC Loss: 0.000000
Epoch 41: Loss: 0.000633, Rec Loss: 0.000633, FC Loss: 0.000000
Epoch 42: Loss: 0.000670, Rec Loss: 0.000670, FC Loss: 0.000000
Epoch 43: Loss: 0.000595, Rec Loss: 0.000595, FC Loss: 0.000000
Epoch 44: Loss: 0.000631, Rec Loss: 0.000631, FC Loss: 0.000000
Epoch 45: Loss: 0.000634, Rec Loss: 0.000634, FC Loss: 0.000000
Epoch 46: Loss: 0.000608, Rec Loss: 0.000608, FC Loss: 0.000000
Epoch 47: Loss: 0.000598, Rec Loss: 0.000598, FC Loss: 0.000000
Epoch 48: Loss: 0.000577, Rec Loss: 0.000577, FC Loss: 0.000000
Epoch 49: Loss: 0.000599, Rec Loss: 0.000599, FC Loss: 0.000000
Epoch 50: Loss: 0.000583, Rec Loss: 0.000583, FC Loss: 0.000000
Epoch 51: Loss: 0.000572, Rec Loss: 0.000572, FC Loss: 0.000000
Epoch 52: Loss: 0.000579, Rec Loss: 0.000579, FC Loss: 0.000000
Epoch 53: Loss: 0.000505, Rec Loss: 0.000505, FC Loss: 0.000000
Epoch 54: Loss: 0.000608, Rec Loss: 0.000608, FC Loss: 0.000000
Epoch 55: Loss: 0.000531, Rec Loss: 0.000531, FC Loss: 0.000000
Epoch 56: Loss: 0.000543, Rec Loss: 0.000543, FC Loss: 0.000000
Epoch 57: Loss: 0.000512, Rec Loss: 0.000512, FC Loss: 0.000000
Epoch 58: Loss: 0.000565, Rec Loss: 0.000565, FC Loss: 0.000000
Epoch 59: Loss: 0.000509, Rec Loss: 0.000509, FC Loss: 0.000000
Epoch 60: Loss: 0.000592, Rec Loss: 0.000592, FC Loss: 0.000000
Epoch 61: Loss: 0.000479, Rec Loss: 0.000479, FC Loss: 0.000000
Epoch 62: Loss: 0.000519, Rec Loss: 0.000519, FC Loss: 0.000000
Epoch 63: Loss: 0.000477, Rec Loss: 0.000477, FC Loss: 0.000000
Epoch 64: Loss: 0.000510, Rec Loss: 0.000510, FC Loss: 0.000000
Epoch 65: Loss: 0.000521, Rec Loss: 0.000521, FC Loss: 0.000000
Epoch 66: Loss: 0.000464, Rec Loss: 0.000464, FC Loss: 0.000000
Epoch 67: Loss: 0.000463, Rec Loss: 0.000463, FC Loss: 0.000000
Epoch 68: Loss: 0.000519, Rec Loss: 0.000519, FC Loss: 0.000000
Epoch 69: Loss: 0.000489, Rec Loss: 0.000489, FC Loss: 0.000000
Epoch 70: Loss: 0.000449, Rec Loss: 0.000449, FC Loss: 0.000000
Epoch 71: Loss: 0.000505, Rec Loss: 0.000505, FC Loss: 0.000000
Epoch 72: Loss: 0.000428, Rec Loss: 0.000428, FC Loss: 0.000000
